name	taxonomy_id	taxonomy_lvl	SRR8146935.bracken_num	SRR8146935.bracken_frac	SRR8146936.bracken_num	SRR8146936.bracken_frac	SRR8146938.bracken_num	SRR8146938.bracken_frac	SRR8146944.bracken_num	SRR8146944.bracken_frac	SRR8146951.bracken_num	SRR8146951.bracken_frac	SRR8146952.bracken_num	SRR8146952.bracken_frac
Faecalibacterium sp. I2-3-92	2929490	S	2971	0.00825	0	0.00000	536	0.00171	0	0.00000	0	0.00000	179	0.00041
Faecalibacterium sp. i25-0019-C1	3141185	S	3206	0.00890	0	0.00000	0	0.00000	1275	0.00343	29088	0.04737	0	0.00000
Faecalibacterium sp. IP-3-29	2929489	S	1169	0.00325	0	0.00000	584	0.00186	1861	0.00500	4123	0.00671	217	0.00050
Faecalibacterium sp. 7	3402017	S	1012	0.00281	0	0.00000	0	0.00000	0	0.00000	1094	0.00178	0	0.00000
Faecalibacterium taiwanense	3030638	S	1359	0.00377	0	0.00000	20522	0.06550	935	0.00251	6348	0.01034	546	0.00125
Faecalibacterium duncaniae	411483	S	661	0.00184	0	0.00000	390	0.00124	2894	0.00778	0	0.00000	795	0.00182
Faecalibacterium wellingii	2929491	S	258	0.00072	0	0.00000	0	0.00000	0	0.00000	786	0.00128	0	0.00000
Faecalibacterium hominis (ex Afrizal et al. 2022)	2881265	S	185	0.00051	0	0.00000	0	0.00000	0	0.00000	0	0.00000	247	0.00056
Lawsonibacter asaccharolyticus	2108523	S	6194	0.01720	201	0.00047	476	0.00152	37	0.00010	183	0.00030	165	0.00038
Flavonifractor plautii	292800	S	4169	0.01158	1962	0.00455	171	0.00055	197	0.00053	392	0.00064	227	0.00052
Ruthenibacterium lactatiformans	1550024	S	1092	0.00303	55	0.00013	269	0.00086	128	0.00034	917	0.00149	70	0.00016
Dysosmobacter welbionis	2093857	S	10443	0.02900	328	0.00076	6723	0.02146	1315	0.00354	4433	0.00722	2546	0.00582
Hominenteromicrobium mulieris	2885357	S	1536	0.00426	0	0.00000	1885	0.00602	0	0.00000	52	0.00008	337	0.00077
Pusillibacter faecalis	2714358	S	1032	0.00287	0	0.00000	230	0.00073	238	0.00064	63	0.00010	136	0.00031
Anaerotruncus colihominis	169435	S	697	0.00194	0	0.00000	0	0.00000	90	0.00024	0	0.00000	106	0.00024
